"Africa","West Africa"
"Africa","Southern Africa"
"Africa","Greater Horn of Africa"
"Africa","Central Africa and Great Lake Region"
"Middle East and North Africa","Northern Africa"
"Middle East and North Africa","Middle East"
"Asia, Europe and Americas","Central and South Asia"
"Asia, Europe and Americas","East Asia and Pacific"
"Asia, Europe and Americas","Europe, North Asia and the Caucasus"
"Asia, Europe and Americas","Americas and Caribbean"
