"resources/reports","resources/field_document_type/reports-21"
"resources/policy-and-guidance","resources/field_document_type/policy-and-guidance-39"
"resources/training-and-resource-materials","resources/field_document_type/training-and-resource-materials-32"
"resources/dashboard","resources/field_document_type/dashboard-51"
"media/press-releases","resources/field_document_type/press-release-50"
"media/galleries","galleries"
